Tiempo,Flujo
2454953.529242746,401333.16
2454953.529923868,401288.16
2454953.53060509,401425.53
2454953.5312862117,401172.0
2454953.5319674336,401473.62
2454953.5326485555,401465.44
2454953.5333296773,401342.0
2454953.5340106995,401485.1
2454953.534691921,401244.03
2454953.5353730433,401389.53
2454953.5360542648,401256.7
2454953.536735387,401313.1
2454953.537416509,401323.5
2454953.538097731,401494.97
2454953.5387788527,401218.56
2454953.5394600746,402024.6
2454953.5401410963,401337.28
2454953.540822218,401196.97
2454953.54150334,401509.88
2454953.542184562,401122.44
2454953.542865684,401442.56
2454953.543546806,401486.4
2454953.5442280276,401250.78
2454953.5449091494,401266.28
2454953.5455901716,401229.94
2454953.5462713935,401308.22
2454953.5469525154,401202.0
2454953.547633637,401385.25
2454953.548314759,401369.66
2454953.548995981,401317.6
2454953.549677103,401281.72
2454953.5503582247,401351.53
2454953.5510393465,401316.47
2454953.551720469,401311.97
2454953.5524015906,401250.2
2454953.5530828126,401152.62
2454953.5537639344,401294.72
2454953.5544450562,401423.5
2454953.555126278,401285.34
2454953.5558074,401172.75
2454953.5564884217,401287.78
2454953.557169544,401369.7
2454953.5578507655,401352.4
2454953.558531888,401436.6
2454953.5592130097,401262.2
2454953.5598942316,401320.2
2454953.5605753534,401380.47
2454953.5612565754,401172.62
2454953.561937597,401279.94
2454953.562618719,401413.7
2454953.563299841,401351.88
2454953.5639810627,401377.94
2454953.5646621846,401198.97
2454953.5653434065,401332.0
2454953.5660245284,401203.94
2454953.56670565,401185.1
2454953.5673866724,401170.06
2454953.5680678943,401252.03
2454953.568749016,401276.3
2454953.569430238,401391.88
2454953.57011136,401284.28
2454953.570792482,401320.5
2454953.5714737037,401328.94
2454953.5721548256,401299.4
2454953.5728358473,401406.38
2454953.5735169696,401278.44
2454953.574198191,401472.1
2454953.5748793134,401285.44
2454953.575560435,401155.03
2454953.576241657,401424.66
2454953.576922779,401234.78
2454953.577603901,401353.4
2454953.5782850226,401233.38
2454953.5789661445,401254.22
2454953.5796472663,401251.2
2454953.5803284883,401222.97
2454953.58100961,401329.7
2454953.581690732,401451.78
2454953.582371954,401441.28
2454953.583053076,401420.53
2454953.583734098,401291.6
2454953.5844152197,401454.34
2454953.5850964417,401361.5
2454953.5857775635,401428.75
2454953.5864586853,401440.53
2454953.5871399073,401235.88
2454953.587821029,401328.9
2454953.588502151,401322.4
2454953.589183273,401357.4
2454953.589864395,401390.1
2454953.590545517,401288.53
2454953.591226739,401398.4
2454953.5919078607,401429.03
2454953.5925889825,401374.38
2454953.5932702045,401307.78
2454953.5939513263,401237.03
2454953.594632348,401373.8
2454953.59531357,401207.78
2454953.595994692,401187.75
2454953.596675814,401516.25
2454953.5973570356,401257.03
2454953.5980381574,401565.8
2454953.5987193794,401180.97
2454953.5994005017,401422.72
2454953.6000815234,401336.53
2454953.6007626452,401329.3
2454953.601443867,401507.78
2454953.602124989,401265.34
2454953.602806211,401230.53
2454953.603487333,401200.66
2454953.6041684547,401333.2
2454953.6048495765,401346.16
2454953.6055307984,401347.9
2454953.6062118206,401270.25
2454953.6068929425,401363.12
2454953.6075741644,401400.66
2454953.6082552862,401233.66
2454953.608936408,401185.2
2454953.60961763,401224.84
2454953.610298752,401317.2
2454953.6109798737,401401.2
2454953.611660896,401421.16
2454953.6123421174,401419.16
2454953.613023239,401422.4
2454953.6137043615,401432.1
2454953.614385583,401314.72
2454953.6150667053,401303.34
2454953.615747827,401390.97
2454953.616429049,401491.34
2454953.617110071,401422.03
2454953.6177911926,401312.47
2454953.6184724146,401514.03
2454953.6191535364,400857.56
2454953.619834658,401293.62
2454953.62051588,401383.88
2454953.621197002,401250.6
2454953.621878124,401298.25
2454953.622559146,401286.8
2454953.623240368,401405.22
2454953.62392149,401452.53
2454953.6246027118,401322.38
2454953.6252838336,401444.78
2454953.6259649554,401385.16
2454953.6266461774,401274.0
2454953.627327299,401415.47
2454953.628008321,401478.94
2454953.628689543,401393.0
2454953.6293706647,401048.28
2454953.630051787,401353.44
2454953.6307330085,401348.75
2454953.631414131,401288.56
2454953.6320952526,401387.97
2454953.6327764746,401296.16
2454953.6334574963,401364.1
2454953.634138618,401374.5
2454953.63481984,401335.8
2454953.635500962,401283.5
2454953.6361820837,401282.53
2454953.6368633057,401413.62
2454953.6375444275,401171.6
2454953.6382255494,401284.9
2454953.6389065715,401418.8
2454953.6395877935,401402.22
2454953.6402689153,401308.28
